user,article,timestamp,id
BabelStone,1989 Tiananmen Square protests,202004141741,950944802
Ifnord,1989 Tiananmen Square protests,202004141727,950942244
DittyReacts,1989 Tiananmen Square protests,202004141726,950942153
Ipeedmypants lol,1989 Tiananmen Square protests,202004141542,950925542
Ipeedmypants lol,1989 Tiananmen Square protests,202004141540,950925153
92.67.15.105,1989 Tiananmen Square protests,202004121520,950529622
92.67.15.105,1989 Tiananmen Square protests,202004121509,950528087
92.67.15.105,1989 Tiananmen Square protests,202004121504,950527405
Auspicious bwszd,1989 Tiananmen Square protests,202004101421,950156781
HaeB,1989 Tiananmen Square protests,202004101348,950152130
Auspicious bwszd,1989 Tiananmen Square protests,202004101342,950151310
Auspicious bwszd,1989 Tiananmen Square protests,202004101339,950150968
2600:100c:b059:be49:35c4:5f5:dd9f:5c3,1989 Tiananmen Square protests,202004081157,949764701
2a00:23c5:d019:3d01:11fd:e9b:7356:b7e7,1989 Tiananmen Square protests,202004081141,949763016
Corn Kernel,1989 Tiananmen Square protests,202004081002,949753611
Wcam,1989 Tiananmen Square protests,202004061215,949426577
Havsjö,1989 Tiananmen Square protests,202004030634,948823750
2607:fea8:a240:110:d124:56e5:7c1c:d02f,1989 Tiananmen Square protests,202003300913,948131152
36.71.235.186,1989 Tiananmen Square protests,202003291647,948000938
El C,1989 Tiananmen Square protests,202003290749,947934716
113.20.22.71,1989 Tiananmen Square protests,202003290748,947934632
HaeB,1989 Tiananmen Square protests,202003280612,947747943
113.20.22.103,1989 Tiananmen Square protests,202003280346,947734890
113.20.22.103,1989 Tiananmen Square protests,202003280345,947734720
ClueBot NG,1989 Tiananmen Square protests,202003280115,947715573
Helpmechoose696969,1989 Tiananmen Square protests,202003280115,947715531
Azboi,1989 Tiananmen Square protests,202003271554,947641698
Rodrigo Valequez,1989 Tiananmen Square protests,202003271049,947607423
103.252.200.252,1989 Tiananmen Square protests,202003271046,947607205
ClueBot NG,1989 Tiananmen Square protests,202003151017,945654634
49.183.58.15,1989 Tiananmen Square protests,202003151017,945654624
CLCStudent,1989 Tiananmen Square protests,202003141433,945519185
92.40.168.13,1989 Tiananmen Square protests,202003141433,945519151
Serols,1989 Tiananmen Square protests,202003141423,945518069
46.233.77.19,1989 Tiananmen Square protests,202003141422,945518026
24.5.217.173,1989 Tiananmen Square protests,202003140741,945482004
Charles Essie,1989 Tiananmen Square protests,202003130557,945321447
124.148.179.126,1989 Tiananmen Square protests,202003121138,945193107
75.98.137.18,1989 Tiananmen Square protests,202003111741,945075787
75.98.137.18,1989 Tiananmen Square protests,202003111741,945075751
Iridescent,1989 Tiananmen Square protests,202003111341,945042982
49.180.0.62,1989 Tiananmen Square protests,202003100600,944834928
49.180.0.62,1989 Tiananmen Square protests,202003100557,944834667
49.180.0.62,1989 Tiananmen Square protests,202003100541,944833189
2601:188:180:b8e0:65f5:930c:b0b2:cd63,1989 Tiananmen Square protests,202003031505,943718543
185.135.2.103,1989 Tiananmen Square protests,202003022041,943600829
2601:188:180:b8e0:65f5:930c:b0b2:cd63,1989 Tiananmen Square protests,202003011936,943415995
2a00:23c6:a128:5d01:15af:e537:32f:5ef7,1989 Tiananmen Square protests,202003011934,943415736
DemocraticLuntz,1989 Tiananmen Square protests,202002261411,942732513
103.93.115.18,1989 Tiananmen Square protests,202002261408,942732185
IdreamofJeanie,1989 Tiananmen Square protests,202002241829,942442886
81.135.89.7,1989 Tiananmen Square protests,202002241828,942442770
DemonDays64 Bot,1989 Tiananmen Square protests,202002211608,941943370
Oshwah,1989 Tiananmen Square protests,202002210017,941840428
130.65.254.15,1989 Tiananmen Square protests,202002210013,941839848
Oshwah,1989 Tiananmen Square protests,202002210012,941839691
130.65.254.15,1989 Tiananmen Square protests,202002210012,941839651
Chris the speller,1989 Tiananmen Square protests,202002171507,941262403
El C,1989 Tiananmen Square protests,202002120510,940376010
211.25.62.90,1989 Tiananmen Square protests,202002120508,940375847
LynxTufts,1989 Tiananmen Square protests,202002111433,940267297
2605:6000:151f:c8d0:7486:36e1:6347:2a1c,1989 Tiananmen Square protests,202002110704,940223182
TheEpicGhosty,1989 Tiananmen Square protests,202001312159,938549718
Teddy.Coughlin,1989 Tiananmen Square protests,202001301815,938356206
Corn Kernel,1989 Tiananmen Square protests,202001281454,938000203
199.85.82.130,1989 Tiananmen Square protests,202001281424,937996752
A. Randomdude0000,1989 Tiananmen Square protests,202001242224,937419757
2605:a000:1005:822d:6458:387b:b54e:8d80,1989 Tiananmen Square protests,202001242223,937419665
Theeddiebear888,1989 Tiananmen Square protests,202001240313,937296473
Theeddiebear888,1989 Tiananmen Square protests,202001240312,937296343
Matthew hk,1989 Tiananmen Square protests,202001150912,935877390
Jing345,1989 Tiananmen Square protests,202001122312,935497849
Hugo999,1989 Tiananmen Square protests,202001110700,935216539
Citobun,1989 Tiananmen Square protests,202001100944,935078844
Lutein678,1989 Tiananmen Square protests,202001100941,935078611
LynxTufts,1989 Tiananmen Square protests,202001021743,933720730
109.201.38.172,1989 Tiananmen Square protests,202001021544,933702696
CaradhrasAiguo,1989 Tiananmen Square protests,201912301702,933217726
Elementautumn,1989 Tiananmen Square protests,201912300601,933147481
Elementautumn,1989 Tiananmen Square protests,201912300601,933147457
Hugo999,1989 Tiananmen Square protests,201912291020,932989895
BarryLi,1989 Tiananmen Square protests,201912291013,932989274
Monkbot,1989 Tiananmen Square protests,201912280112,932755558
Tony1,1989 Tiananmen Square protests,201912252357,932442724
Citobun,1989 Tiananmen Square protests,201912200134,931619611
Robinlew0,1989 Tiananmen Square protests,201912191924,931576871
LynxTufts,1989 Tiananmen Square protests,201912181745,931397212
